	GSM1519923	GSM1519926	GSM1519927	GSM1519928	GSM1519929	GSM1519930	GSM1519933	GSM1519934	GSM1519935
RNFT2	5.494841951500001	3.9224046885	5.5988808635	5.117819144	5.6158981565	4.7346426515	5.9817667935	5.3823844725	4.792904706
RNGTT	8.351151015	8.412558277	8.563111706	8.27621568	7.51276714	8.423434563999999	6.780868337999999	6.877612191	6.766968427
RNH1	4.499255340666667	4.349720818000001	4.334731521	4.534494624	4.103848448666667	3.395631617	5.6072543396666665	5.5238256623333335	4.024820369
RNMT	4.526150268	6.448708936499999	6.094190601499999	4.123261895000001	3.4616842695	2.3374195405	6.3220956975	4.748638249000001	4.936707536
RNMTL1	3.7164514580000003	5.674104529	5.204049622	4.645548161000001	3.3443520330000003	4.909423004	4.790854693	4.683023945	3.9014121339999996
RNPC3	10.9334044	9.732642958	9.893720858	10.94845284	10.91328298	10.59999974	7.601716503	9.593342862	10.15748852
RNPEP	4.820180693	6.9225605365	5.8059349445	5.1279310195	4.887814404	6.195750454	6.533161460500001	6.2578829865	5.8307321385
RNPEPL1	8.251420858	1.915417436	1.58686144	5.260832631	6.814395459	5.015417612	6.989421795	1.3465974530000002	4.228030803
RNPS1	5.639626366000001	5.028993584666666	5.507729747666666	5.647271566666667	4.878819295333333	4.460647675666667	6.198493067333334	6.107970158666666	6.0209553819999995
RNU12	4.457523183999999	5.876576428	5.479889815	5.228127505	2.8023972319999997	4.2433742080000005	4.477203949	4.336024736000001	1.5917278830000001
ROBLD3	5.614974384	6.4252636905000005	6.1032117235	6.07848914	5.3540442105	5.8923655104999995	5.101722352	5.082688741	4.9894
ROBO1	4.4031187655	5.332551581000001	3.9625814554999996	5.056297182	4.9110764805	3.9307186644999996	4.6218907515	5.3858145115	4.084031471
ROBO2	8.188945270666666	6.914453665666667	7.347381792666667	9.619890881	8.739195079666667	7.919944569333333	6.907275727666666	8.027511356666666	7.224735440000001
ROBO3	5.451478223333333	2.162196941	5.848415671999999	5.915129490666668	5.455654071333334	2.278120749333333	4.294271093	4.303867882666666	4.536001579
ROBO4	5.24022714	6.56906376	6.796254381000001	6.0583631845	5.0912142605	5.9809368875	7.289791632	6.672199471000001	6.3955554545
ROCK1	5.5260528686666675	3.2098894733333334	3.4174224153333337	3.333297129666667	4.251340386333333	4.194750478666667	3.039884894	2.9141928236666668	5.658863792333334
ROCK2	1.4573194295	4.361942480500001	3.6413595185	1.7363541295	2.8866666625	1.8161535275	3.712770475	3.8080066825000003	2.6060141905000003
ROD1	4.608813076	4.785239112666667	5.689413934333333	4.845437571333334	5.8745692436666666	5.142107521333333	6.013973949	5.494926680333333	5.266194163
ROGDI	6.978081166	7.239112764	3.2576158530000003	6.608873541	5.99828984	5.505073876	5.611821203	4.629165337	3.032412501
ROM1	1.499993916	2.204356585	2.1236563719999997	1.560118704	1.481089729	1.665763885	4.60137886	1.90102947	1.9975212519999999
ROMO1	7.604539579	1.455070192	9.455272262000001	1.326979863	5.48485973	1.340076067	1.311691529	7.262172812999999	4.284878357
ROPN1	5.846268232000001	7.108656286	6.254896532999999	6.318283962000001	6.51970226	6.5005515560000005	5.696340229	5.472908151	5.743554611
ROPN1B	4.816888646000001	3.9426379839999997	6.603955399	6.237684206	4.006008552	4.629928743	5.290903732	1.6457949680000001	5.830139078999999
ROPN1L	4.0133578615	4.0250174755	3.4047561374999997	2.8880994199999996	1.8490661805	3.6486008174999998	3.4513231620000004	1.6289576295	2.790990498
ROR1	5.288979901666666	6.831525908000001	6.708653020333334	4.55084544	5.204413455666667	4.798702256666666	7.405961349000001	6.407484734333334	6.455677154666667
