Gene_Symbol	GSM1187673	GSM1187674	GSM1187675	GSM1187676	GSM1187677	GSM1187678
CWH43	5.24643	5.537059999999999	5.37984	5.23407	5.27238	5.17696
CX3CL1	8.06896	8.235669999999999	8.09535	8.04643	7.88645	7.88249
CX3CR1	6.28956	6.14389	6.16709	6.00542	5.8120400000000005	5.62174
CXADR	6.8014600000000005	6.906060000000001	6.92174	6.92045	6.94522	6.90505
CXCL1	9.13537	9.56765	10.8476	8.07362	9.349169999999999	8.930860000000001
CXCL2	9.72542	10.6252	11.0147	5.828790000000001	6.961539999999999	6.630839999999999
CXCL3	6.91758	7.28918	7.016089999999999	6.50934	6.59271	6.5833
CXCL5	7.815860000000001	7.84151	8.62755	7.25435	7.679639999999999	7.65223
CXCL6	7.34355	7.74642	8.9996	6.757210000000001	8.51747	7.588260000000001
CXCL8	9.685789999999999	10.1549	11.2273	7.0008300000000006	7.56618	7.54258
CXCL9	4.69341	4.80441	4.6732	4.78075	4.61734	4.76962
CXCL10	4.0416099999999995	4.33444	3.7284599999999997	4.220680000000001	3.9372800000000003	3.72655
CXCL11	4.367430000000001	4.47405	4.3369599999999995	4.16147	4.19129	4.29396
CXCL12	9.77225	11.3592	11.3487	11.9952	11.9278	11.1848
CXCL13	4.62633	4.07161	4.45022	4.46776	4.2324	4.23942
CXCL14	7.1715	7.31347	7.257689999999999	8.38241	7.7295	7.626689999999999
CXCL16	6.610810000000001	6.5132900000000005	6.80527	7.75063	6.703360000000001	6.74176
CXCL17	6.55497	6.63885	6.43571	6.4211599999999995	6.18463	6.48672
CXCR1	5.67845	5.63551	5.6652	5.54533	5.90109	5.66394
CXCR2	4.29576	4.67545	4.56994	4.32712	4.44147	4.81789
CXCR3	7.78147	8.129430000000001	7.827030000000001	7.89031	7.77345	7.758939999999999
CXCR4	5.93579	5.86892	5.7404	5.74503	5.64438	5.69796
CXCR5	6.6582	6.836010000000001	6.7313	6.56555	6.976369999999999	6.81089
CXCR6	5.24292	5.64872	5.7042	5.85036	5.3358099999999995	5.66486
